Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_raw	1.7226666666666668
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_raw	1.6746666666666667
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_raw	2.104
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_raw	3.528
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_raw	2.1733333333333333
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_raw	2.0933333333333337
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_raw	2.2933333333333334
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_raw	2.525333333333333
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_raw	1.5173333333333334
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_raw	1.864
Atha_Ler-0_sl_FLT_0.18G_Rep3_R1_raw	2.8400000000000003
Atha_Ler-0_sl_FLT_0.18G_Rep3_R2_raw	2.7626666666666666
Atha_Ler-0_sl_FLT_0.36G_Rep1_R1_raw	1.5173333333333334
Atha_Ler-0_sl_FLT_0.36G_Rep1_R2_raw	1.602666666666667
Atha_Ler-0_sl_FLT_0.36G_Rep2_R1_raw	2.2053333333333334
Atha_Ler-0_sl_FLT_0.36G_Rep2_R2_raw	2.7786666666666666
Atha_Ler-0_sl_FLT_0.36G_Rep3_R1_raw	1.7173333333333332
Atha_Ler-0_sl_FLT_0.36G_Rep3_R2_raw	2.128
Atha_Ler-0_sl_FLT_0.57G_Rep1_R1_raw	2.008
Atha_Ler-0_sl_FLT_0.57G_Rep1_R2_raw	2.4773333333333336
Atha_Ler-0_sl_FLT_0.57G_Rep2_R1_raw	2.248
Atha_Ler-0_sl_FLT_0.57G_Rep2_R2_raw	2.528
Atha_Ler-0_sl_FLT_0.57G_Rep3_R1_raw	1.952
Atha_Ler-0_sl_FLT_0.57G_Rep3_R2_raw	2.4533333333333336
Atha_Ler-0_sl_FLT_0.57G_Rep4_R1_raw	2.352
Atha_Ler-0_sl_FLT_0.57G_Rep4_R2_raw	2.1173333333333333
Atha_Ler-0_sl_FLT_1G_Rep1_R1_raw	1.8960000000000001
Atha_Ler-0_sl_FLT_1G_Rep1_R2_raw	2.056
Atha_Ler-0_sl_FLT_1G_Rep2_R1_raw	1.8186666666666667
Atha_Ler-0_sl_FLT_1G_Rep2_R2_raw	2.7306666666666666
Atha_Ler-0_sl_FLT_1G_Rep3_R1_raw	1.992
Atha_Ler-0_sl_FLT_1G_Rep3_R2_raw	2.7279999999999998
Atha_Ler-0_sl_FLT_uG_Rep1_R1_raw	2.144
Atha_Ler-0_sl_FLT_uG_Rep1_R2_raw	3.2
Atha_Ler-0_sl_FLT_uG_Rep2_R1_raw	1.456
Atha_Ler-0_sl_FLT_uG_Rep2_R2_raw	1.5173333333333334
Atha_Ler-0_sl_FLT_uG_Rep3_R1_raw	2.3946666666666667
Atha_Ler-0_sl_FLT_uG_Rep3_R2_raw	2.4346666666666668
Atha_Ler-0_sl_FLT_uG_Rep4_R1_raw	1.8533333333333333
Atha_Ler-0_sl_FLT_uG_Rep4_R2_raw	1.8773333333333333
