Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw	9.933774834437086
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw	10.668874172185431
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw	10.229580573951434
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw	10.64459161147903
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw	6.958057395143488
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw	9.600441501103752
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw	7.582781456953643
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw	8.818984547461369
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw	8.253863134657836
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw	9.79028697571744
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw	8.503311258278146
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw	8.918322295805739
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw	8.885209713024283
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw	9.282560706401766
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw	8.059602649006623
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw	9.679911699779248
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw	7.066225165562915
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw	7.746136865342164
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw	7.584988962472407
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw	8.551876379690949
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw	8.097130242825607
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw	10.094922737306842
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw	6.894039735099337
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw	7.459161147902869
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw	7.1280353200882995
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw	7.980132450331126
