"","Number of genes with non-zero counts"
"GSM4486031",201
"GSM4486032",158
"GSM4486033",174
"GSM4486034",195
"GSM4486035",54
"GSM4486036",61
"GSM4486037",106
"GSM4486038",111
"GSM4486039",214
"GSM4486040",213
"GSM4486041",201
"GSM4486042",183
"GSM4486043",188
"GSM4486044",171
"GSM4486045",158
"GSM4486046",119
"GSM4486047",194
"GSM4486048",220
"GSM4486049",222
"GSM4486050",165
"GSM4486051",195
"GSM4486052",100
"GSM4486053",119
"GSM4486054",83
"GSM4486055",65
"GSM4486056",143
"GSM4486057",215
"GSM4486058",202
"GSM4486059",180
"GSM4486060",176
"GSM4486061",63
"GSM4486062",104
"GSM4486063",80
"GSM4486064",100
"GSM4486065",216
"GSM4486066",207
"GSM4486067",167
"GSM4486068",207
"GSM4486069",143
"GSM4486070",96
"GSM4486071",76
"GSM4486072",113
"GSM4486073",97
"GSM4486074",84
