Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	53.0	95.33333333333334	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	54.0	97.0	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	fail	fail
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	97.0	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	97.33333333333334	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	53.0	98.33333333333333	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.66666666666667	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	99.0	151.0	pass	fail	pass	pass	fail	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	97.66666666666667	151.0	pass	fail	pass	pass	fail	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	51.0	98.33333333333333	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	51.0	98.33333333333333	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	96.66666666666667	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	96.33333333333334	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	53.0	96.66666666666667	151.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	99.0	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	53.0	96.66666666666667	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	54.0	97.66666666666667	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.0	151.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.33333333333333	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.0	151.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.33333333333333	151.0	pass	fail	pass	pass	fail	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	51.0	97.33333333333334	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	98.0	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw	Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	49.0	97.0	151.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw	Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	49.0	98.66666666666667	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw	Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	96.66666666666667	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw	Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	151.0	52.0	97.33333333333334	151.0	pass	fail	pass	pass	warn	fail	fail	pass	pass	warn	fail
