-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	2
-120	-115	7
-115	-110	2
-110	-105	1
-105	-100	3
-100	-95	5
-95	-90	1
-90	-85	4
-85	-80	2
-80	-75	1
-75	-70	2
-70	-65	1
-65	-60	0
-60	-55	0
-55	-50	3
-50	-45	1
-45	-40	1
-40	-35	1
-35	-30	0
-30	-25	2
-25	-20	1
-20	-15	2
-15	-10	1
-10	-5	1
-5	0	1
0	5	0
5	10	0
10	15	2
15	20	0
20	25	1
25	30	1
30	35	2
35	40	2
40	45	0
45	50	0
50	55	1
55	60	0
60	65	1
65	70	0
70	75	1
75	80	0
80	85	0
85	90	2
90	95	0
95	100	0
100	105	0
105	110	0
110	115	0
115	120	0
120	125	0
125	130	0
130	135	0
135	140	0
140	145	0
145	150	0
150	155	0
155	160	0
160	165	0
165	170	0
170	175	0
175	180	0
180	185	0
185	190	0
190	195	0
195	200	0
200	205	0
205	210	1
210	215	0
215	220	0
220	225	0
225	230	0
230	235	0
235	240	0
240	245	0
245	250	0
250	255	0
255	260	1
260	265	0
265	270	0
270	275	0
275	280	0
280	285	0
285	290	0
290	295	0
295	300	0
300	305	0
305	310	0
310	315	0
315	320	0
320	325	0
325	330	0
330	335	0
335	340	0
340	345	0
345	350	0
