"","condition"
"GSM4486031","Space.Flight...bzip28.2"
"GSM4486032","Space.Flight...bzip28.2"
"GSM4486033","Space.Flight...bzip28.2"
"GSM4486034","Space.Flight...bzip28.2"
"GSM4486035","Ground.Control...bzip28.2"
"GSM4486036","Ground.Control...bzip28.2"
"GSM4486037","Ground.Control...bzip28.2"
"GSM4486038","Ground.Control...bzip28.2"
"GSM4486039","Space.Flight...bzip60.2"
"GSM4486040","Space.Flight...bzip60.2"
"GSM4486041","Space.Flight...bzip60.2"
"GSM4486042","Space.Flight...bzip60.2"
"GSM4486043","Ground.Control...bzip60.2"
"GSM4486044","Ground.Control...bzip60.2"
"GSM4486045","Ground.Control...bzip60.2"
"GSM4486046","Ground.Control...bzip60.2"
"GSM4486047","Space.Flight...bzip28.2.bzip60.1"
"GSM4486048","Space.Flight...bzip28.2.bzip60.1"
"GSM4486049","Space.Flight...bzip28.2.bzip60.1"
"GSM4486050","Space.Flight...bzip28.2.bzip60.1"
"GSM4486051","Space.Flight...bzip28.2.bzip60.1"
"GSM4486052","Ground.Control...bzip28.2.bzip60.1"
"GSM4486053","Ground.Control...bzip28.2.bzip60.1"
"GSM4486054","Ground.Control...bzip28.2.bzip60.1"
"GSM4486055","Ground.Control...bzip28.2.bzip60.1"
"GSM4486056","Ground.Control...bzip28.2.bzip60.1"
"GSM4486057","Space.Flight...ire1a.4.ire1b.2"
"GSM4486058","Space.Flight...ire1a.4.ire1b.2"
"GSM4486059","Space.Flight...ire1a.4.ire1b.2"
"GSM4486060","Space.Flight...ire1a.4.ire1b.2"
"GSM4486061","Ground.Control...ire1a.4.ire1b.2"
"GSM4486062","Ground.Control...ire1a.4.ire1b.2"
"GSM4486063","Ground.Control...ire1a.4.ire1b.2"
"GSM4486064","Ground.Control...ire1a.4.ire1b.2"
"GSM4486065","Space.Flight...WT"
"GSM4486066","Space.Flight...WT"
"GSM4486067","Space.Flight...WT"
"GSM4486068","Space.Flight...WT"
"GSM4486069","Space.Flight...WT"
"GSM4486070","Ground.Control...WT"
"GSM4486071","Ground.Control...WT"
"GSM4486072","Ground.Control...WT"
"GSM4486073","Ground.Control...WT"
"GSM4486074","Ground.Control...WT"
