Module	Section	Sample Name	Source
Cutadapt	all_sections	GSM4486074_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486074_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486073_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486073_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486072_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486072_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486071_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486071_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486070_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486070_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486069_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486069_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486068_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486068_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486067_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486067_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486066_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486066_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486065_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486065_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486064_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486064_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486063_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486063_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486062_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486062_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486061_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486061_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486060_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486060_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486058_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486058_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486059_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486059_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486057_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486057_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486056_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486056_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486055_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486055_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486054_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486054_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486053_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486053_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486052_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486052_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486051_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486051_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM4486050_raw	/tmp/.nf-test/tests/cc7b6a2958286aab2d618b022bf34774/work/5d/f9407e107e95b8bf2d5d106c7994ef/mqc_in/GSM4486050_raw.fastq.gz_trimming_report.txt
