Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
GSM4486031_raw	3.7	300	103	300	15000	239	14612	2.5866666666666664
GSM4486032_raw	3.7	300	100	300	15000	9	14462	3.5866666666666664
GSM4486033_raw	3.7	300	98	300	15000	36	14730	1.7999999999999998
GSM4486034_raw	3.7	300	109	300	15000	27	14731	1.7933333333333332
GSM4486035_raw	3.7	300	86	300	15000	143	14735	1.7666666666666668
GSM4486036_raw	3.7	300	94	300	15000	194	14690	2.0666666666666664
GSM4486037_raw	3.7	300	78	300	15000	35	14870	0.8666666666666666
GSM4486038_raw	3.7	300	87	300	15000	32	14846	1.0266666666666666
GSM4486039_raw	3.7	300	96	300	15000	3	14866	0.8933333333333333
GSM4486040_raw	3.7	300	116	300	15000	13	14779	1.4733333333333332
GSM4486041_raw	3.7	300	98	300	15000	9	14812	1.2533333333333334
GSM4486042_raw	3.7	300	107	300	15000	38	14756	1.6266666666666665
GSM4486043_raw	3.7	300	94	300	15000	34	14796	1.3599999999999999
GSM4486044_raw	3.7	300	114	300	15000	36	14814	1.24
GSM4486045_raw	3.7	300	99	300	15000	37	14841	1.06
GSM4486046_raw	3.7	300	106	300	15000	23	14736	1.76
GSM4486047_raw	3.7	300	78	300	15000	6	14886	0.76
GSM4486048_raw	3.7	300	128	300	15000	172	14650	2.3333333333333335
GSM4486049_raw	3.7	300	105	300	15000	5	14811	1.26
GSM4486050_raw	3.7	300	88	300	15000	1	14716	1.8933333333333333
GSM4486051_raw	3.7	300	114	300	15000	36	14807	1.2866666666666666
GSM4486052_raw	3.7	300	83	300	15000	44	14597	2.6866666666666665
GSM4486053_raw	3.7	300	98	300	15000	33	14785	1.4333333333333333
GSM4486054_raw	3.7	300	95	300	15000	21	14614	2.5733333333333333
GSM4486055_raw	3.7	300	88	300	15000	74	14632	2.4533333333333336
GSM4486056_raw	3.7	300	101	300	15000	30	14789	1.4066666666666667
GSM4486057_raw	3.7	300	113	300	15000	197	14648	2.3466666666666667
GSM4486058_raw	3.7	300	96	300	15000	7	14826	1.16
GSM4486059_raw	3.7	300	87	300	15000	204	14673	2.18
GSM4486060_raw	3.7	300	104	300	15000	26	14844	1.04
GSM4486061_raw	3.7	300	81	300	15000	217	14672	2.1866666666666665
GSM4486062_raw	3.7	300	104	300	15000	68	14659	2.2733333333333334
GSM4486063_raw	3.7	300	110	300	15000	196	14650	2.3333333333333335
GSM4486064_raw	3.7	300	86	300	15000	49	14736	1.76
GSM4486065_raw	3.7	300	95	300	15000	5	14821	1.1933333333333334
GSM4486066_raw	3.7	300	97	300	15000	1	14629	2.473333333333333
GSM4486067_raw	3.7	300	100	300	15000	4	14857	0.9533333333333333
GSM4486068_raw	3.7	300	100	300	15000	268	14597	2.6866666666666665
GSM4486069_raw	3.7	300	122	300	15000	171	14668	2.2133333333333334
GSM4486070_raw	3.7	300	92	300	15000	30	14698	2.013333333333333
GSM4486071_raw	3.7	300	73	300	15000	31	14729	1.8066666666666669
GSM4486072_raw	3.7	300	113	300	15000	39	14754	1.6400000000000001
GSM4486073_raw	3.7	300	104	300	15000	213	14652	2.32
GSM4486074_raw	3.7	300	86	300	15000	29	14807	1.2866666666666666
