1	1259571	1259727	2	2	1	1	0	25
1	3915894	3917020	1	1	1	1	0	15
1	6416650	6416732	2	2	1	1	0	13
1	9484687	9485493	2	2	1	1	0	11
1	10639837	10639924	1	1	1	1	0	15
1	17283772	17284118	2	2	1	0	1	2
1	17888378	17888465	2	2	1	1	0	16
1	18133139	18133258	1	1	1	1	0	11
1	18217775	18217881	1	1	1	1	0	15
2	7947087	7947161	1	1	1	1	0	15
2	9053854	9054145	2	2	1	1	0	10
2	15080300	15080380	1	1	1	1	0	13
2	15634847	15634933	2	2	1	1	0	18
2	17416708	17416828	2	2	1	1	0	6
3	3476504	3476584	2	2	1	1	0	11
3	4315973	4316064	1	1	1	1	0	21
3	5400703	5400791	2	2	1	1	0	12
3	6935587	6935667	1	1	1	1	0	2
3	11264758	11264840	2	2	1	1	0	18
3	19804680	19805147	2	2	1	0	1	19
3	22416782	22416870	1	1	1	1	0	14
4	1084379	1084455	2	2	1	1	0	11
4	16708958	16709049	1	1	1	0	1	19
5	414691	414780	1	1	1	1	0	6
5	3426513	3426595	2	2	1	0	1	1
5	5261492	5261642	2	2	1	1	0	3
5	6763612	6763963	1	1	1	1	0	10
5	18796696	18796762	2	2	1	1	0	18
