Sample	Rsem_mqc-generalstats-rsem-alignable_percent
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	1.9400352733686066
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	2.9357798165137616
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	1.7793594306049825
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	2.857142857142857
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	2.112676056338028
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	4.655172413793104
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	3.466204506065858
Mmus_C57-6J_LVR_GC_C_Rep1_M36	1.607142857142857
Mmus_C57-6J_LVR_GC_C_Rep2_M37	3.231597845601436
Mmus_C57-6J_LVR_GC_C_Rep3_M38	3.0141843971631204
Mmus_C57-6J_LVR_GC_C_Rep4_M39	3.2490974729241873
Mmus_C57-6J_LVR_GC_C_Rep5_M40	3.684210526315789
Mmus_C57-6J_LVR_GC_I_Rep1_M31	5.719237435008666
Mmus_C57-6J_LVR_GC_I_Rep2_M32	4.639175257731959
