Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	556	11	0	567	1.9400352733686066	6	5	8
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	529	16	0	545	2.9357798165137616	14	2	10
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	552	10	0	562	1.7793594306049825	9	1	6
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	544	16	0	560	2.857142857142857	15	1	9
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	556	12	0	568	2.112676056338028	10	2	7
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	553	27	0	580	4.655172413793104	22	5	20
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	557	20	0	577	3.466204506065858	20	0	10
Mmus_C57-6J_LVR_GC_C_Rep1_M36	551	9	0	560	1.607142857142857	8	1	5
Mmus_C57-6J_LVR_GC_C_Rep2_M37	539	18	0	557	3.231597845601436	16	2	10
Mmus_C57-6J_LVR_GC_C_Rep3_M38	547	17	0	564	3.0141843971631204	16	1	9
Mmus_C57-6J_LVR_GC_C_Rep4_M39	536	18	0	554	3.2490974729241873	17	1	10
Mmus_C57-6J_LVR_GC_C_Rep5_M40	549	21	0	570	3.684210526315789	20	1	15
Mmus_C57-6J_LVR_GC_I_Rep1_M31	544	33	0	577	5.719237435008666	28	5	21
Mmus_C57-6J_LVR_GC_I_Rep2_M32	555	27	0	582	4.639175257731959	26	1	12
