Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	11.018363939899828	44.0	49.59432387312187	18.181818181818183	599.0
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	16.4983164983165	43.0	49.484848484848484	27.27272727272727	594.0
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	9.71524288107203	46.0	49.45896147403685	9.090909090909092	597.0
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	12.289562289562298	45.0	49.44444444444444	27.27272727272727	594.0
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	10.420168067226882	45.0	49.4672268907563	9.090909090909092	595.0
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	8.514190317195329	49.0	49.537562604340565	18.181818181818183	599.0
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	9.56375838926175	49.0	49.47986577181208	9.090909090909092	596.0
Mmus_C57-6J_LVR_GC_C_Rep1_M36	13.5678391959799	45.0	49.47571189279732	18.181818181818183	597.0
Mmus_C57-6J_LVR_GC_C_Rep2_M37	11.129848229342329	46.0	49.470489038785836	18.181818181818183	593.0
Mmus_C57-6J_LVR_GC_C_Rep3_M38	10.183639398998338	46.0	49.530884808013354	9.090909090909092	599.0
Mmus_C57-6J_LVR_GC_C_Rep4_M39	9.74789915966386	47.0	49.46890756302521	9.090909090909092	595.0
Mmus_C57-6J_LVR_GC_C_Rep5_M40	9.5	46.0	49.48166666666667	9.090909090909092	600.0
Mmus_C57-6J_LVR_GC_I_Rep1_M31	10.0	49.0	49.54666666666667	9.090909090909092	600.0
Mmus_C57-6J_LVR_GC_I_Rep2_M32	12.666666666666671	49.0	49.56333333333333	9.090909090909092	600.0
