Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Mmus_C57-6J_LVR_FLT_C_Rep1_M25_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599.0	0.0	46-50	44.0	88.98163606010017	49.59432387312187	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Mmus_C57-6J_LVR_FLT_C_Rep2_M26_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	594.0	0.0	39-50	43.0	83.5016835016835	49.484848484848484	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Mmus_C57-6J_LVR_FLT_C_Rep3_M27_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597.0	0.0	40-50	46.0	90.28475711892797	49.45896147403685	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Mmus_C57-6J_LVR_FLT_C_Rep4_M28_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	594.0	0.0	36-50	45.0	87.7104377104377	49.44444444444444	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Mmus_C57-6J_LVR_FLT_C_Rep5_M30_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	595.0	0.0	38-50	45.0	89.57983193277312	49.4672268907563	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Mmus_C57-6J_LVR_FLT_I_Rep1_M21_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599.0	0.0	43-50	49.0	91.48580968280467	49.537562604340565	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Mmus_C57-6J_LVR_FLT_I_Rep2_M22_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596.0	0.0	32-50	49.0	90.43624161073825	49.47986577181208	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Mmus_C57-6J_LVR_GC_C_Rep1_M36_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597.0	0.0	32-50	45.0	86.4321608040201	49.47571189279732	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Mmus_C57-6J_LVR_GC_C_Rep2_M37_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	593.0	0.0	45-50	46.0	88.87015177065767	49.470489038785836	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Mmus_C57-6J_LVR_GC_C_Rep3_M38_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599.0	0.0	45-50	46.0	89.81636060100166	49.530884808013354	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Mmus_C57-6J_LVR_GC_C_Rep4_M39_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	595.0	0.0	39-50	47.0	90.25210084033614	49.46890756302521	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Mmus_C57-6J_LVR_GC_C_Rep5_M40_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	600.0	0.0	41-50	46.0	90.5	49.48166666666667	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_I_Rep1_M31	Mmus_C57-6J_LVR_GC_I_Rep1_M31_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	600.0	0.0	27-50	49.0	90.0	49.54666666666667	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_GC_I_Rep2_M32	Mmus_C57-6J_LVR_GC_I_Rep2_M32_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	600.0	0.0	45-50	49.0	87.33333333333333	49.56333333333333	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
