task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b9/2fca5b	1523	STAGING:GENERATE_RUNSHEET (GLDS-251)	COMPLETED	0	2022-09-15 02:31:34.805	6s	4.6s	52.7%	73.1 MB	732.8 MB	22.1 MB	495.3 KB
3	5e/7b8c29	2272	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep1)	COMPLETED	0	2022-09-15 02:31:42.445	74ms	7ms	61.5%	0	0	113.8 KB	35.3 KB
6	c9/1d14bd	-	REFERENCES:PARSE_ANNOTATIONS_TABLE	COMPLETED	-	2022-09-15 02:31:42.570	271ms	218ms	-	-	-	-	-
2	38/378fb5	2029	STAGING:GENERATE_METASHEET (GLDS-251)	COMPLETED	0	2022-09-15 02:31:40.962	2.2s	993ms	83.8%	13.3 MB	19 MB	9.2 MB	161.8 KB
9	77/a5a1b1	2958	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep2)	COMPLETED	0	2022-09-15 02:31:43.566	61ms	7ms	72.7%	0	0	113.5 KB	35 KB
4	77/c967e8	2372	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep1)	COMPLETED	0	2022-09-15 02:31:42.565	1.8s	0ms	96.1%	10.6 MB	17.1 MB	10 MB	812.8 KB
13	90/f40b34	3738	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep3)	COMPLETED	0	2022-09-15 02:31:44.578	65ms	6ms	128.0%	0	0	113.6 KB	35.1 KB
11	71/a72899	3044	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep2)	COMPLETED	0	2022-09-15 02:31:43.642	2.1s	1s	81.9%	11.3 MB	17.8 MB	10 MB	821.3 KB
16	70/534153	4559	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep4)	COMPLETED	0	2022-09-15 02:31:45.694	183ms	12ms	88.9%	0	0	112.6 KB	34.1 KB
20	87/bc5e8d	5266	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep1)	COMPLETED	0	2022-09-15 02:31:46.677	392ms	15ms	20.6%	0	0	115.1 KB	36.6 KB
14	1e/a28da5	3842	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep3)	COMPLETED	0	2022-09-15 02:31:44.676	2.7s	1s	70.8%	12.8 MB	19.3 MB	10 MB	816 KB
24	a7/8a8e85	6213	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep2)	COMPLETED	0	2022-09-15 02:31:48.087	673ms	80ms	15.3%	0	0	114.8 KB	36.2 KB
27	bd/287fba	7128	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep3)	COMPLETED	0	2022-09-15 02:31:49.496	802ms	86ms	11.0%	0	0	114.6 KB	36.1 KB
30	57/ad3cb1	8141	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.18G_Rep1)	COMPLETED	0	2022-09-15 02:31:51.006	684ms	87ms	9.5%	0	0	113.8 KB	35.3 KB
18	95/51b6ba	4761	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep4)	COMPLETED	0	2022-09-15 02:31:45.892	5.9s	2s	35.7%	12.7 MB	19.3 MB	10 MB	817 KB
22	e8/8d21ac	5645	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep1)	COMPLETED	0	2022-09-15 02:31:47.162	6.8s	3s	27.4%	13 MB	19.3 MB	10 MB	823.6 KB
8	f6/58ab03	2530	REFERENCES:DOWNLOAD_GUNZIP_REFERENCES (Organism: arabidopsis_thaliana  Ensembl Version: 54)	COMPLETED	0	2022-09-15 02:31:42.860	14.1s	13.2s	16.8%	8.3 MB	19.1 MB	90.5 MB	411.3 MB
34	4e/497ac0	11658	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.18G_Rep2)	COMPLETED	0	2022-09-15 02:31:56.969	1s	88ms	10.6%	0	0	113.5 KB	34.9 KB
26	5d/4246d4	6593	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep2)	COMPLETED	0	2022-09-15 02:31:48.778	9.6s	6s	16.5%	12.8 MB	19.3 MB	10 MB	813.2 KB
29	ef/9767de	7845	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep3)	COMPLETED	0	2022-09-15 02:31:50.403	9.2s	4s	22.4%	12.9 MB	19.3 MB	10 MB	818.7 KB
