Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
GSM4486031	300.0	48.0	223.0	74.33	46.93	28.0	28.0	28.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	53.0	17.67	0.0	0.0	0.0	8.0	0.0	0	24	0
GSM4486032	292.0	49.0	183.0	62.67	47.93	20.0	20.0	20.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	79.0	27.05	0.0	0.0	0.0	10.27	0.0	0	30	0
GSM4486033	298.0	49.0	203.0	68.12	48.13	17.0	17.0	17.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	76.0	25.5	0.0	0.0	0.0	6.38	0.0	0	19	0
GSM4486034	298.0	49.0	220.0	73.83	48.56	30.0	30.0	29.0	1.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	64.0	21.48	0.0	0.0	0.0	4.7	0.0	0	14	0
GSM4486035	300.0	49.0	79.0	26.33	48.15	8.0	8.0	8.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	197.0	65.67	0.0	0.0	0.0	8.0	0.0	0	24	0
GSM4486036	300.0	48.0	79.0	26.33	45.7	6.0	6.0	6.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	0.0	202.0	67.33	0.0	0.0	0.0	6.33	0.0	0	19	0
GSM4486037	300.0	49.0	124.0	41.33	47.83	8.0	8.0	8.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	144.0	48.0	0.0	0.0	0.0	10.67	0.0	0	32	0
GSM4486038	300.0	49.0	128.0	42.67	48.23	12.0	12.0	12.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	117.0	39.0	0.0	0.0	0.0	18.33	0.0	0	55	0
GSM4486039	300.0	49.0	233.0	77.67	47.89	22.0	22.0	21.0	1.0	0.0	0.0	1.91	0.0	0.0	0.01	1.0	31.0	10.33	0.0	0.0	0.0	12.0	0.0	0	36	0
GSM4486040	299.0	49.0	232.0	77.59	47.59	30.0	30.0	30.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.0	43.0	14.38	0.0	0.0	0.0	8.03	0.0	0	24	0
GSM4486041	299.0	49.0	236.0	78.93	47.77	29.0	29.0	29.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	0.0	53.0	17.73	0.0	0.0	0.0	3.34	0.0	0	10	0
GSM4486042	299.0	49.0	210.0	70.23	48.28	33.0	33.0	33.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	68.0	22.74	0.0	0.0	0.0	7.02	0.0	0	21	0
GSM4486043	299.0	49.0	217.0	72.58	48.34	24.0	24.0	24.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	65.0	21.74	0.0	0.0	0.0	5.69	0.0	0	17	0
GSM4486044	300.0	49.0	202.0	67.33	48.48	27.0	27.0	27.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	90.0	30.0	0.0	0.0	0.0	2.67	0.0	0	8	0
GSM4486045	300.0	49.0	181.0	60.33	48.03	16.0	16.0	16.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	85.0	28.33	0.0	0.0	0.0	11.33	0.0	0	34	0
GSM4486046	298.0	49.0	139.0	46.64	47.32	19.0	19.0	19.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	94.0	31.54	0.0	0.0	0.0	21.81	0.0	0	65	0
GSM4486047	300.0	49.0	219.0	73.0	47.63	28.0	28.0	28.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	64.0	21.33	0.0	0.0	0.0	5.67	0.0	0	17	0
GSM4486048	300.0	48.0	250.0	83.33	46.92	31.0	31.0	31.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	29.0	9.67	0.0	0.0	0.0	7.0	0.0	0	21	0
GSM4486049	299.0	49.0	249.0	83.28	47.84	34.0	34.0	34.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	16.0	5.35	0.0	0.0	0.0	11.37	0.0	0	34	0
GSM4486050	297.0	49.0	200.0	67.34	48.19	21.0	21.0	21.0	0.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	77.0	25.93	0.0	0.0	0.0	6.73	0.0	0	20	0
GSM4486051	300.0	49.0	224.0	74.67	48.15	34.0	34.0	34.0	0.0	0.0	0.0	1.34	0.0	0.0	0.01	1.0	56.0	18.67	0.0	0.0	0.0	6.67	0.0	0	20	0
GSM4486052	295.0	49.0	118.0	40.0	48.52	19.0	19.0	19.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	156.0	52.88	0.0	0.0	0.0	7.12	0.0	0	21	0
GSM4486053	299.0	49.0	144.0	48.16	48.17	16.0	16.0	16.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	136.0	45.48	0.0	0.0	0.0	6.35	0.0	0	19	0
GSM4486054	295.0	49.0	93.0	31.53	47.96	10.0	10.0	9.0	1.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	143.0	48.47	0.0	0.0	0.0	20.0	0.0	0	59	0
GSM4486055	296.0	49.0	84.0	28.38	47.89	14.0	14.0	13.0	1.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	156.0	52.7	0.0	0.0	0.0	18.92	0.0	0	56	0
GSM4486056	299.0	49.0	175.0	58.53	48.09	21.0	21.0	20.0	1.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	82.0	27.42	0.0	0.0	0.0	14.05	0.0	0	42	0
GSM4486057	300.0	48.0	240.0	80.0	47.17	37.0	37.0	36.0	1.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	37.0	12.33	0.0	0.0	0.0	7.67	0.0	0	23	0
GSM4486058	299.0	49.0	238.0	79.6	48.21	26.0	26.0	26.0	0.0	0.0	0.0	2.03	0.02	1.0	0.0	0.0	43.0	14.38	0.0	0.0	0.0	6.02	0.0	0	18	0
GSM4486059	300.0	48.0	217.0	72.33	47.18	36.0	36.0	36.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	59.0	19.67	0.0	0.0	0.0	8.0	0.0	0	24	0
GSM4486060	300.0	49.0	215.0	71.67	47.96	22.0	22.0	22.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	69.0	23.0	0.0	0.0	0.0	5.33	0.0	0	16	0
GSM4486061	300.0	48.0	80.0	26.67	47.84	16.0	16.0	16.0	0.0	0.0	0.0	1.36	0.0	0.0	0.0	0.0	187.0	62.33	0.0	0.0	0.0	11.0	0.0	0	33	0
GSM4486062	297.0	49.0	122.0	41.08	47.41	15.0	15.0	15.0	0.0	0.0	0.0	1.68	0.0	0.0	0.0	0.0	128.0	43.1	0.0	0.0	0.0	15.82	0.0	0	47	0
GSM4486063	300.0	48.0	103.0	34.33	46.71	9.0	9.0	9.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	165.0	55.0	0.0	0.0	0.0	10.67	0.0	0	32	0
GSM4486064	298.0	49.0	116.0	38.93	48.37	12.0	12.0	12.0	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	129.0	43.29	0.0	0.0	0.0	17.79	0.0	0	53	0
GSM4486065	299.0	49.0	244.0	81.61	48.04	33.0	33.0	32.0	1.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	35.0	11.71	0.0	0.0	0.0	6.69	0.0	0	20	0
GSM4486066	295.0	49.0	238.0	80.68	48.12	26.0	26.0	26.0	0.0	0.0	0.0	1.78	0.0	0.0	0.0	0.0	32.0	10.85	0.0	0.0	0.0	8.47	0.0	0	25	0
GSM4486067	300.0	49.0	192.0	64.0	47.98	27.0	27.0	27.0	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	91.0	30.33	0.0	0.0	0.0	5.67	0.0	0	17	0
GSM4486068	300.0	48.0	236.0	78.67	47.17	31.0	31.0	31.0	0.0	0.0	0.0	1.35	0.01	1.0	0.0	0.0	35.0	11.67	0.0	0.0	0.0	9.67	0.0	0	29	0
GSM4486069	300.0	48.0	165.0	55.0	47.55	24.0	24.0	24.0	0.0	0.0	0.0	1.16	0.0	0.0	0.01	1.0	113.0	37.67	0.0	0.0	0.0	7.33	0.0	0	22	0
