Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
GSM4486031	74.33	223.0
GSM4486032	62.67	183.0
GSM4486033	68.12	203.0
GSM4486034	73.83	220.0
GSM4486035	26.33	79.0
GSM4486036	26.33	79.0
GSM4486037	41.33	124.0
GSM4486038	42.67	128.0
GSM4486039	77.67	233.0
GSM4486040	77.59	232.0
GSM4486041	78.93	236.0
GSM4486042	70.23	210.0
GSM4486043	72.58	217.0
GSM4486044	67.33	202.0
GSM4486045	60.33	181.0
GSM4486046	46.64	139.0
GSM4486047	73.0	219.0
GSM4486048	83.33	250.0
GSM4486049	83.28	249.0
GSM4486050	67.34	200.0
GSM4486051	74.67	224.0
GSM4486052	40.0	118.0
GSM4486053	48.16	144.0
GSM4486054	31.53	93.0
GSM4486055	28.38	84.0
GSM4486056	58.53	175.0
GSM4486057	80.0	240.0
GSM4486058	79.6	238.0
GSM4486059	72.33	217.0
GSM4486060	71.67	215.0
GSM4486061	26.67	80.0
GSM4486062	41.08	122.0
GSM4486063	34.33	103.0
GSM4486064	38.93	116.0
GSM4486065	81.61	244.0
GSM4486066	80.68	238.0
GSM4486067	64.0	192.0
GSM4486068	78.67	236.0
GSM4486069	55.0	165.0
GSM4486070	39.06	116.0
GSM4486071	31.99	95.0
GSM4486072	42.81	128.0
GSM4486073	38.33	115.0
GSM4486074	37.12	111.0
