Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_raw	Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	46.0	100.0	125.0	pass	pass	pass	pass	fail	warn	warn	pass	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_raw	Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	46.0	99.66666666666667	125.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_raw	Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	47.0	100.0	125.0	pass	pass	pass	pass	fail	warn	warn	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_raw	Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	47.0	100.0	125.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_raw	Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	46.0	100.0	125.0	pass	pass	pass	pass	fail	fail	warn	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_raw	Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	46.0	99.66666666666667	125.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_raw	Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	47.0	100.0	125.0	pass	pass	pass	pass	fail	fail	warn	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_raw	Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	46.0	100.0	125.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_raw	Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	48.0	100.0	125.0	pass	pass	pass	pass	fail	warn	fail	pass	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_raw	Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	125.0	48.0	100.0	125.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
