Sample	Rsem_mqc-generalstats-rsem-alignable_percent
GSM4486031	87.81725888324873
GSM4486032	85.22167487684729
GSM4486033	91.1214953271028
GSM4486034	93.75
GSM4486035	84.61538461538461
GSM4486036	86.23188405797102
GSM4486037	81.81818181818183
GSM4486038	72.22222222222221
GSM4486039	84.27947598253274
GSM4486040	87.87878787878788
GSM4486041	95.1219512195122
GSM4486042	90.5829596412556
GSM4486043	92.6086956521739
GSM4486044	96.24413145539906
GSM4486045	84.61538461538461
GSM4486046	67.98029556650246
GSM4486047	91.74757281553399
GSM4486048	90.625
GSM4486049	84.95575221238938
GSM4486050	90.19607843137256
GSM4486051	91.63179916317992
GSM4486052	87.6470588235294
GSM4486053	89.44444444444444
GSM4486054	68.10810810810811
GSM4486055	67.05882352941175
GSM4486056	79.6116504854369
GSM4486057	88.99521531100478
GSM4486058	92.20779220779221
GSM4486059	88.29268292682927
GSM4486060	92.55813953488372
GSM4486061	77.55102040816327
GSM4486062	75.64766839378238
GSM4486063	79.22077922077922
GSM4486064	71.95767195767195
GSM4486065	90.8675799086758
GSM4486066	89.17748917748918
GSM4486067	91.23711340206185
GSM4486068	85.99033816425121
GSM4486069	89.10891089108911
GSM4486070	90.55555555555556
GSM4486071	92.43243243243244
GSM4486072	80.90452261306532
GSM4486073	85.88957055214725
GSM4486074	73.74301675977654
