Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	280	2	0	282	0.7092198581560284	2	0	1
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	262	7	0	269	2.6022304832713754	5	2	3
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	275	4	0	279	1.4336917562724014	4	0	2
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	268	9	0	277	3.2490974729241873	9	0	5
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	278	4	0	282	1.4184397163120568	4	0	1
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	273	13	0	286	4.545454545454546	10	3	10
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	285	7	0	292	2.3972602739726026	7	0	2
Mmus_C57-6J_LVR_GC_C_Rep1_M36	279	2	0	281	0.7117437722419928	2	0	2
Mmus_C57-6J_LVR_GC_C_Rep2_M37	271	7	0	278	2.5179856115107913	6	1	5
Mmus_C57-6J_LVR_GC_C_Rep3_M38	270	13	0	283	4.593639575971731	12	1	7
Mmus_C57-6J_LVR_GC_C_Rep4_M39	257	14	0	271	5.166051660516605	13	1	8
Mmus_C57-6J_LVR_GC_C_Rep5_M40	268	13	0	281	4.6263345195729535	12	1	9
Mmus_C57-6J_LVR_GC_I_Rep1_M31	267	19	0	286	6.643356643356643	15	4	11
Mmus_C57-6J_LVR_GC_I_Rep2_M32	282	10	0	292	3.4246575342465753	10	0	5
