Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
Atha_Ler-0_sl_FLT_0.09G_Rep1	26.0	78.0
Atha_Ler-0_sl_FLT_0.09G_Rep2	13.85	41.0
Atha_Ler-0_sl_FLT_0.09G_Rep3	18.39	55.0
Atha_Ler-0_sl_FLT_0.18G_Rep1	17.67	53.0
Atha_Ler-0_sl_FLT_0.18G_Rep2	12.67	38.0
Atha_Ler-0_sl_FLT_0.18G_Rep3	20.07	60.0
Atha_Ler-0_sl_FLT_0.36G_Rep1	15.67	47.0
Atha_Ler-0_sl_FLT_0.36G_Rep2	8.0	24.0
Atha_Ler-0_sl_FLT_0.36G_Rep3	12.71	38.0
Atha_Ler-0_sl_FLT_0.57G_Rep1	17.73	53.0
Atha_Ler-0_sl_FLT_0.57G_Rep2	19.06	57.0
Atha_Ler-0_sl_FLT_0.57G_Rep3	16.05	48.0
Atha_Ler-0_sl_FLT_0.57G_Rep4	11.33	34.0
Atha_Ler-0_sl_FLT_1G_Rep1	13.38	40.0
Atha_Ler-0_sl_FLT_1G_Rep2	18.0	54.0
Atha_Ler-0_sl_FLT_1G_Rep3	18.06	54.0
Atha_Ler-0_sl_FLT_uG_Rep1	14.53	43.0
Atha_Ler-0_sl_FLT_uG_Rep2	13.33	40.0
Atha_Ler-0_sl_FLT_uG_Rep3	12.0	36.0
Atha_Ler-0_sl_FLT_uG_Rep4	9.67	29.0
