Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	599.0	49.0	32.0	5.34	46.5	2.0	2.0	2.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	11.0	1.84	5.0	0.83	0.0	91.99	0.0	0	551	0
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	594.0	49.0	54.0	9.09	48.15	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	11.0	1.85	3.0	0.51	0.0	88.55	0.0	0	526	0
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	597.0	49.0	36.0	6.03	47.17	1.0	1.0	1.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	9.0	1.51	7.0	1.17	0.0	91.29	0.0	0	545	0
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	594.0	49.0	42.0	7.07	48.74	2.0	2.0	2.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	8.0	1.35	2.0	0.34	0.0	91.08	0.17	0	541	1
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	595.0	49.0	26.0	4.37	48.12	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	13.0	2.18	1.0	0.17	0.0	93.28	0.0	0	555	0
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	599.0	49.0	39.0	6.51	47.18	3.0	3.0	2.0	1.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	7.0	1.17	3.0	0.5	0.0	91.82	0.0	0	550	0
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	596.0	49.0	31.0	5.2	47.87	2.0	2.0	2.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	8.0	1.34	0.0	0.0	0.0	93.12	0.34	0	555	2
Mmus_C57-6J_LVR_GC_C_Rep1_M36	597.0	49.0	34.0	5.7	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	12.0	2.01	1.0	0.17	0.0	91.96	0.17	0	549	1
Mmus_C57-6J_LVR_GC_C_Rep2_M37	593.0	49.0	41.0	6.91	48.41	1.0	1.0	1.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	13.0	2.19	5.0	0.84	0.0	89.88	0.17	0	533	1
Mmus_C57-6J_LVR_GC_C_Rep3_M38	599.0	49.0	42.0	7.01	47.55	1.0	1.0	1.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	10.0	1.67	5.0	0.83	0.0	90.32	0.17	0	541	1
Mmus_C57-6J_LVR_GC_C_Rep4_M39	595.0	49.0	50.0	8.4	48.16	2.0	2.0	1.0	1.0	0.0	0.0	0.58	0.04	1.0	0.0	0.0	9.0	1.51	3.0	0.5	0.0	89.58	0.0	0	533	0
Mmus_C57-6J_LVR_GC_C_Rep5_M40	600.0	49.0	42.0	7.0	47.95	2.0	2.0	2.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	9.0	1.5	1.0	0.17	0.0	91.17	0.17	0	547	1
Mmus_C57-6J_LVR_GC_I_Rep1_M31	600.0	49.0	46.0	7.67	47.96	5.0	5.0	4.0	1.0	0.0	0.0	1.04	0.0	0.0	0.05	1.0	10.0	1.67	1.0	0.17	0.0	90.33	0.17	0	542	1
Mmus_C57-6J_LVR_GC_I_Rep2_M32	600.0	49.0	36.0	6.0	48.33	3.0	3.0	3.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	9.0	1.5	0.0	0.0	0.0	92.5	0.0	0	555	0
