Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Atha_Ler-0_sl_FLT_0.09G_Rep1	219	63	0	282	22.340425531914892	61	2	29
Atha_Ler-0_sl_FLT_0.09G_Rep2	254	32	0	286	11.188811188811188	32	0	14
Atha_Ler-0_sl_FLT_0.09G_Rep3	243	52	0	295	17.627118644067796	51	1	25
Atha_Ler-0_sl_FLT_0.18G_Rep1	244	51	0	295	17.28813559322034	50	1	24
Atha_Ler-0_sl_FLT_0.18G_Rep2	260	32	0	292	10.95890410958904	32	0	14
Atha_Ler-0_sl_FLT_0.18G_Rep3	239	55	0	294	18.70748299319728	55	0	32
Atha_Ler-0_sl_FLT_0.36G_Rep1	252	43	0	295	14.576271186440678	43	0	23
Atha_Ler-0_sl_FLT_0.36G_Rep2	276	20	0	296	6.756756756756757	20	0	11
Atha_Ler-0_sl_FLT_0.36G_Rep3	258	34	0	292	11.643835616438356	32	2	15
Atha_Ler-0_sl_FLT_0.57G_Rep1	245	45	0	290	15.517241379310345	45	0	23
Atha_Ler-0_sl_FLT_0.57G_Rep2	241	44	0	285	15.43859649122807	44	0	24
Atha_Ler-0_sl_FLT_0.57G_Rep3	250	43	0	293	14.675767918088736	43	0	21
Atha_Ler-0_sl_FLT_0.57G_Rep4	265	34	0	299	11.37123745819398	34	0	14
Atha_Ler-0_sl_FLT_1G_Rep1	257	39	0	296	13.175675675675674	38	1	22
Atha_Ler-0_sl_FLT_1G_Rep2	244	41	0	285	14.385964912280702	41	0	23
Atha_Ler-0_sl_FLT_1G_Rep3	240	55	0	295	18.64406779661017	50	5	26
Atha_Ler-0_sl_FLT_uG_Rep1	253	39	0	292	13.356164383561644	39	0	17
Atha_Ler-0_sl_FLT_uG_Rep2	257	37	0	294	12.585034013605442	36	1	13
Atha_Ler-0_sl_FLT_uG_Rep3	263	32	0	295	10.847457627118644	30	2	15
Atha_Ler-0_sl_FLT_uG_Rep4	271	26	0	297	8.754208754208754	26	0	14
