Sample	Rsem_mqc-generalstats-rsem-alignable_percent
Atha_Ler-0_sl_FLT_0.09G_Rep1	22.340425531914892
Atha_Ler-0_sl_FLT_0.09G_Rep2	11.188811188811188
Atha_Ler-0_sl_FLT_0.09G_Rep3	17.627118644067796
Atha_Ler-0_sl_FLT_0.18G_Rep1	17.28813559322034
Atha_Ler-0_sl_FLT_0.18G_Rep2	10.95890410958904
Atha_Ler-0_sl_FLT_0.18G_Rep3	18.70748299319728
Atha_Ler-0_sl_FLT_0.36G_Rep1	14.576271186440678
Atha_Ler-0_sl_FLT_0.36G_Rep2	6.756756756756757
Atha_Ler-0_sl_FLT_0.36G_Rep3	11.643835616438356
Atha_Ler-0_sl_FLT_0.57G_Rep1	15.517241379310345
Atha_Ler-0_sl_FLT_0.57G_Rep2	15.43859649122807
Atha_Ler-0_sl_FLT_0.57G_Rep3	14.675767918088736
Atha_Ler-0_sl_FLT_0.57G_Rep4	11.37123745819398
Atha_Ler-0_sl_FLT_1G_Rep1	13.175675675675674
Atha_Ler-0_sl_FLT_1G_Rep2	14.385964912280702
Atha_Ler-0_sl_FLT_1G_Rep3	18.64406779661017
Atha_Ler-0_sl_FLT_uG_Rep1	13.356164383561644
Atha_Ler-0_sl_FLT_uG_Rep2	12.585034013605442
Atha_Ler-0_sl_FLT_uG_Rep3	10.847457627118644
Atha_Ler-0_sl_FLT_uG_Rep4	8.754208754208754
