5	711037	711163	2	2	1	1	0	29
5	978080	978296	2	2	1	1	0	51
5	978439	978535	2	2	1	1	0	39
5	1146983	1147065	1	1	1	1	0	19
5	1147085	1147414	1	1	1	1	0	19
5	1533781	1533888	2	2	1	1	0	28
5	1992443	1992850	2	2	1	1	0	6
5	1992922	1994202	2	2	1	1	0	48
5	2519271	2519373	2	2	1	1	0	11
5	3676860	3677888	1	1	1	1	0	40
5	3678017	3678155	1	1	1	1	0	11
5	4336981	4337082	1	1	1	1	0	37
5	5660684	5660800	2	2	1	1	0	58
5	5938729	5938826	1	1	1	1	0	23
5	6943886	6944306	2	2	1	1	0	5
5	7779669	7779963	1	1	1	1	0	61
5	7780039	7780123	1	1	1	1	0	21
5	9097435	9097520	1	1	1	1	0	40
5	9420655	9420982	1	1	1	1	0	22
5	16431859	16431944	1	1	1	1	0	27
5	19663795	19663929	1	1	1	1	0	5
5	19663985	19664211	1	1	1	1	0	55
5	21489306	21489383	2	2	1	1	0	52
5	21489513	21489706	2	2	1	1	0	16
5	22373764	22373855	2	2	1	1	0	43
5	22393633	22393721	1	1	1	1	0	25
5	26255327	26255438	1	1	1	1	0	53
5	26255581	26255733	1	1	1	1	0	28
