Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	3.4	600	169	600	30000	2	29707	0.9766666666666667
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	3.4	600	216	600	30000	14	29394	2.02
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	3.4	600	220	600	30000	16	29527	1.5766666666666664
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	3.4	600	216	600	30000	10	29370	2.1
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	3.4	600	223	600	30000	22	29433	1.8900000000000001
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	3.4	600	197	600	30000	10	29673	1.09
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	3.4	600	190	600	30000	50	29490	1.7000000000000002
Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw	3.4	600	208	600	30000	41	29537	1.5433333333333334
Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw	3.4	600	221	600	30000	8	29336	2.2133333333333334
Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw	3.4	600	209	600	30000	2	29669	1.1033333333333333
Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw	3.4	600	212	600	30000	17	29434	1.8866666666666667
Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw	3.4	600	216	600	30000	17	29689	1.0366666666666666
Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw	3.4	600	174	600	30000	26	29728	0.9066666666666667
Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw	3.4	600	187	600	30000	1	29738	0.8733333333333333
