Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	0.9766666666666667
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	2.02
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	1.5766666666666664
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	2.1
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	1.8900000000000001
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	1.09
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	1.7000000000000002
Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw	1.5433333333333334
Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw	2.2133333333333334
Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw	1.1033333333333333
Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw	1.8866666666666667
Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw	1.0366666666666666
Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw	0.9066666666666667
Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw	0.8733333333333333
