Total Reads                   65
Total Tags                    65
Total Assigned Tags           60
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             0                   0.00              
5'UTR_Exons         962658              0                   0.00              
3'UTR_Exons         1658717             13                  0.01              
Introns             28945478            42                  0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             5                   0.00              
TSS_up_10kb         6431897             5                   0.00              
TES_down_1kb        897960              0                   0.00              
TES_down_5kb        3730691             0                   0.00              
TES_down_10kb       6414154             0                   0.00              
=====================================================================
