Total Reads                   43
Total Tags                    45
Total Assigned Tags           42
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             9                   0.01              
5'UTR_Exons         962658              3                   0.00              
3'UTR_Exons         1658717             0                   0.00              
Introns             28945478            25                  0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             2                   0.00              
TSS_up_10kb         6431897             5                   0.00              
TES_down_1kb        897960              0                   0.00              
TES_down_5kb        3730691             0                   0.00              
TES_down_10kb       6414154             0                   0.00              
=====================================================================
