Total Reads                   56
Total Tags                    63
Total Assigned Tags           60
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             22                  0.02              
5'UTR_Exons         962658              10                  0.01              
3'UTR_Exons         1658717             15                  0.01              
Introns             28945478            8                   0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             2                   0.00              
TSS_up_10kb         6431897             4                   0.00              
TES_down_1kb        897960              1                   0.00              
TES_down_5kb        3730691             1                   0.00              
TES_down_10kb       6414154             1                   0.00              
=====================================================================
