Total Reads                   42
Total Tags                    47
Total Assigned Tags           42
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             0                   0.00              
5'UTR_Exons         1045414             4                   0.00              
3'UTR_Exons         1658717             4                   0.00              
Introns             28945478            24                  0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             6                   0.00              
TSS_up_10kb         6431897             6                   0.00              
TES_down_1kb        989960              0                   0.00              
TES_down_5kb        4190691             4                   0.00              
TES_down_10kb       7334154             4                   0.00              
=====================================================================
