Total Reads                   34
Total Tags                    37
Total Assigned Tags           32
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             4                   0.00              
5'UTR_Exons         1045414             11                  0.01              
3'UTR_Exons         1658717             7                   0.00              
Introns             28945478            4                   0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             0                   0.00              
TSS_up_10kb         6431897             4                   0.00              
TES_down_1kb        989960              0                   0.00              
TES_down_5kb        4190691             0                   0.00              
TES_down_10kb       7334154             2                   0.00              
=====================================================================
