Sample	se_sense	se_antisense	failed
GSM4486031_infer_expt	0.0046	0.9452	0.0502
GSM4486032_infer_expt	0.0169	0.9045	0.0787
GSM4486033_infer_expt	0.035	0.94	0.025
GSM4486034_infer_expt	0.0185	0.963	0.0185
GSM4486035_infer_expt	0.0	0.9643	0.0357
GSM4486036_infer_expt	0.0143	0.9714	0.0143
GSM4486037_infer_expt	0.0	0.9655	0.0345
GSM4486038_infer_expt	0.025	0.9333	0.0417
GSM4486039_infer_expt	0.0087	0.9739	0.0174
GSM4486040_infer_expt	0.0043	0.9697	0.026
GSM4486041_infer_expt	0.0087	0.961	0.0303
GSM4486042_infer_expt	0.0048	0.9807	0.0145
GSM4486043_infer_expt	0.0094	0.9434	0.0472
GSM4486044_infer_expt	0.0	0.9845	0.0155
GSM4486045_infer_expt	0.0235	0.9529	0.0235
GSM4486046_infer_expt	0.0	0.9701	0.0299
GSM4486047_infer_expt	0.0183	0.9495	0.0321
GSM4486048_infer_expt	0.0201	0.9478	0.0321
GSM4486049_infer_expt	0.0163	0.9551	0.0286
GSM4486050_infer_expt	0.0206	0.9536	0.0258
GSM4486051_infer_expt	0.0226	0.9502	0.0271
GSM4486052_infer_expt	0.0278	0.9444	0.0278
GSM4486053_infer_expt	0.0	0.9615	0.0385
GSM4486054_infer_expt	0.0	0.9205	0.0795
GSM4486055_infer_expt	0.0139	0.9722	0.0139
GSM4486056_infer_expt	0.0359	0.9401	0.024
GSM4486057_infer_expt	0.0085	0.9576	0.0339
GSM4486058_infer_expt	0.0085	0.953	0.0385
GSM4486059_infer_expt	0.0141	0.9671	0.0188
GSM4486060_infer_expt	0.0195	0.9659	0.0146
GSM4486061_infer_expt	0.0	0.971	0.029
GSM4486062_infer_expt	0.0	0.9737	0.0263
GSM4486063_infer_expt	0.0217	0.9783	0.0
GSM4486064_infer_expt	0.0091	0.9727	0.0182
GSM4486065_infer_expt	0.0123	0.9547	0.0329
GSM4486066_infer_expt	0.0085	0.9744	0.0171
GSM4486067_infer_expt	0.0269	0.9355	0.0376
GSM4486068_infer_expt	0.0043	0.9785	0.0172
GSM4486069_infer_expt	0.0123	0.9691	0.0185
GSM4486070_infer_expt	0.0192	0.9519	0.0288
GSM4486071_infer_expt	0.0	0.9659	0.0341
GSM4486072_infer_expt	0.0246	0.9344	0.041
GSM4486073_infer_expt	0.0093	0.9813	0.0093
GSM4486074_infer_expt	0.0208	0.9583	0.0208
