Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GSM4486031	1.3333333333333286	47.0	48.70666666666666	10.0	300.0
GSM4486032	0.342465753424662	47.0	49.52739726027397	10.0	292.0
GSM4486033	2.3489932885906057	48.0	49.42953020134228	30.0	298.0
GSM4486034	1.677852348993298	48.0	49.43288590604027	20.0	298.0
GSM4486035	1.0	52.0	49.11666666666667	10.0	300.0
GSM4486036	1.6666666666666714	52.0	48.96666666666667	10.0	300.0
GSM4486037	1.0	51.0	49.56666666666667	10.0	300.0
GSM4486038	0.6666666666666714	50.0	49.486666666666665	10.0	300.0
GSM4486039	2.666666666666657	46.0	49.553333333333335	30.0	300.0
GSM4486040	1.0033444816053532	47.0	49.42809364548495	10.0	299.0
GSM4486041	2.341137123745824	48.0	49.53846153846154	20.0	299.0
GSM4486042	1.337792642140471	49.0	49.35117056856188	20.0	299.0
GSM4486043	0.6688963210702354	48.0	49.48494983277592	10.0	299.0
GSM4486044	1.3333333333333286	49.0	49.38	10.0	300.0
GSM4486045	0.3333333333333286	47.0	49.47	20.0	300.0
GSM4486046	4.026845637583904	48.0	49.4496644295302	20.0	298.0
GSM4486047	0.6666666666666714	48.0	49.62	10.0	300.0
GSM4486048	1.0	45.0	48.833333333333336	10.0	300.0
GSM4486049	1.6722408026755886	47.0	49.53511705685619	20.0	299.0
GSM4486050	1.6835016835016887	48.0	49.54882154882155	20.0	297.0
GSM4486051	1.3333333333333286	47.0	49.35666666666667	20.0	300.0
GSM4486052	2.0338983050847474	50.0	49.48135593220339	20.0	295.0
GSM4486053	3.0100334448160453	51.0	49.448160535117054	20.0	299.0
GSM4486054	2.711864406779668	51.0	49.538983050847456	20.0	295.0
GSM4486055	3.0405405405405332	51.0	49.402027027027025	20.0	296.0
GSM4486056	3.0100334448160453	48.0	49.46153846153846	30.0	299.0
GSM4486057	1.3333333333333286	46.0	48.82666666666667	10.0	300.0
GSM4486058	0.3344481605351177	47.0	49.585284280936456	20.0	299.0
GSM4486059	0.6666666666666714	47.0	48.91	20.0	300.0
GSM4486060	2.3333333333333286	48.0	49.48	10.0	300.0
GSM4486061	1.3333333333333286	53.0	48.906666666666666	10.0	300.0
GSM4486062	1.0101010101010104	50.0	49.35690235690236	10.0	297.0
GSM4486063	1.0	50.0	48.833333333333336	10.0	300.0
GSM4486064	0.3355704697986681	51.0	49.4496644295302	10.0	298.0
GSM4486065	2.0066889632107063	47.0	49.5685618729097	10.0	299.0
GSM4486066	1.0169491525423666	46.0	49.58983050847458	20.0	295.0
GSM4486067	1.0	48.0	49.52333333333333	10.0	300.0
GSM4486068	0.3333333333333286	47.0	48.656666666666666	10.0	300.0
GSM4486069	3.0	48.0	48.89333333333333	20.0	300.0
GSM4486070	1.6835016835016887	51.0	49.48821548821549	20.0	297.0
GSM4486071	1.6835016835016887	53.0	49.592592592592595	20.0	297.0
GSM4486072	0.3344481605351177	50.0	49.34448160535117	10.0	299.0
GSM4486073	0.3333333333333286	50.0	48.84	10.0	300.0
GSM4486074	3.0100334448160453	51.0	49.52173913043478	30.0	299.0
