"","Number of genes with non-zero counts"
"GSM4486031",149
"GSM4486032",137
"GSM4486033",154
"GSM4486034",178
"GSM4486035",55
"GSM4486036",51
"GSM4486037",90
"GSM4486038",100
"GSM4486039",174
"GSM4486040",160
"GSM4486041",155
"GSM4486042",158
"GSM4486043",171
"GSM4486044",155
"GSM4486045",142
"GSM4486046",93
"GSM4486047",160
"GSM4486048",180
"GSM4486049",176
"GSM4486050",139
"GSM4486051",175
"GSM4486052",87
"GSM4486053",106
"GSM4486054",70
"GSM4486055",55
"GSM4486056",130
"GSM4486057",172
"GSM4486058",178
"GSM4486059",143
"GSM4486060",148
"GSM4486061",56
"GSM4486062",87
"GSM4486063",62
"GSM4486064",82
"GSM4486065",175
"GSM4486066",175
"GSM4486067",145
"GSM4486068",163
"GSM4486069",122
"GSM4486070",89
"GSM4486071",77
"GSM4486072",100
"GSM4486073",76
"GSM4486074",67
