Total Reads                   276
Total Tags                    287
Total Assigned Tags           213
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            60                  0.00              
5'UTR_Exons         6603616             93                  0.01              
3'UTR_Exons         7663686             11                  0.00              
Introns             18075295            2                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            28                  0.00              
TES_down_5kb        33604199            47                  0.00              
TES_down_10kb       41697274            47                  0.00              
=====================================================================
