Total Reads                   262
Total Tags                    285
Total Assigned Tags           265
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            173                 0.01              
5'UTR_Exons         6603616             48                  0.01              
3'UTR_Exons         7663686             29                  0.00              
Introns             18075295            2                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            8                   0.00              
TES_down_5kb        33604199            13                  0.00              
TES_down_10kb       41697274            13                  0.00              
=====================================================================
