Total Reads                   264
Total Tags                    289
Total Assigned Tags           280
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            230                 0.01              
5'UTR_Exons         6603616             13                  0.00              
3'UTR_Exons         7663686             31                  0.00              
Introns             18075295            2                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            3                   0.00              
TES_down_5kb        33604199            4                   0.00              
TES_down_10kb       41697274            4                   0.00              
=====================================================================
