Total Reads                   275
Total Tags                    306
Total Assigned Tags           295
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            234                 0.01              
5'UTR_Exons         6603616             10                  0.00              
3'UTR_Exons         7663686             34                  0.00              
Introns             18075295            5                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            10                  0.00              
TES_down_5kb        33604199            12                  0.00              
TES_down_10kb       41697274            12                  0.00              
=====================================================================
