Total Reads                   281
Total Tags                    311
Total Assigned Tags           301
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            233                 0.01              
5'UTR_Exons         6603616             27                  0.00              
3'UTR_Exons         7663686             34                  0.00              
Introns             18075295            2                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            3                   0.00              
TES_down_5kb        33604199            5                   0.00              
TES_down_10kb       41697274            5                   0.00              
=====================================================================
