Total Reads                   279
Total Tags                    313
Total Assigned Tags           305
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           33774176            258                 0.01              
5'UTR_Exons         6603616             17                  0.00              
3'UTR_Exons         7663686             19                  0.00              
Introns             18075295            4                   0.00              
TSS_up_1kb          18033536            0                   0.00              
TSS_up_5kb          36825426            0                   0.00              
TSS_up_10kb         42751274            0                   0.00              
TES_down_1kb        14111174            7                   0.00              
TES_down_5kb        33604199            7                   0.00              
TES_down_10kb       41697274            7                   0.00              
=====================================================================
