Total Reads                   116
Total Tags                    163
Total Assigned Tags           160
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           7852661             126                 0.02              
5'UTR_Exons         1480965             4                   0.00              
3'UTR_Exons         1749551             25                  0.01              
Introns             4236521             5                   0.00              
TSS_up_1kb          4108875             0                   0.00              
TSS_up_5kb          8145126             0                   0.00              
TSS_up_10kb         9394513             0                   0.00              
TES_down_1kb        3175004             0                   0.00              
TES_down_5kb        7405312             0                   0.00              
TES_down_10kb       9031798             0                   0.00              
=====================================================================
