Sample	Rsem_mqc-generalstats-rsem-alignable_percent
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7	3.4246575342465753
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6	2.0618556701030926
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7	4.195804195804196
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8	3.4246575342465753
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9	3.1358885017421603
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10	1.718213058419244
Mmus_BAL-TAL_LRTN_GC_Rep1_G6	2.7491408934707904
Mmus_BAL-TAL_LRTN_GC_Rep2_G8	3.125
Mmus_BAL-TAL_LRTN_GC_Rep3_G9	2.0905923344947737
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8	4.421768707482993
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9	1.4234875444839856
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10	3.125
Mmus_BAL-TAL_RRTN_GC_Rep4_G10	2.768166089965398
