Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GSM4486031_raw	2.0	46.0	50.0	10.0	300.0
GSM4486032_raw	1.0	47.0	50.0	0.0	300.0
GSM4486033_raw	2.666666666666657	48.0	50.0	20.0	300.0
GSM4486034_raw	1.6666666666666714	48.0	50.0	10.0	300.0
GSM4486035_raw	1.0	51.0	50.0	0.0	300.0
GSM4486036_raw	2.666666666666657	52.0	50.0	20.0	300.0
GSM4486037_raw	1.0	51.0	50.0	10.0	300.0
GSM4486038_raw	0.6666666666666714	50.0	50.0	0.0	300.0
GSM4486039_raw	2.666666666666657	46.0	50.0	30.0	300.0
GSM4486040_raw	1.0	47.0	50.0	0.0	300.0
GSM4486041_raw	2.3333333333333286	47.0	50.0	20.0	300.0
GSM4486042_raw	1.3333333333333286	48.0	50.0	20.0	300.0
GSM4486043_raw	0.6666666666666714	48.0	50.0	0.0	300.0
GSM4486044_raw	1.6666666666666714	48.0	50.0	20.0	300.0
GSM4486045_raw	0.3333333333333286	47.0	50.0	10.0	300.0
GSM4486046_raw	4.0	48.0	50.0	20.0	300.0
GSM4486047_raw	0.6666666666666714	47.0	50.0	10.0	300.0
GSM4486048_raw	1.3333333333333286	45.0	50.0	10.0	300.0
GSM4486049_raw	1.6666666666666714	47.0	50.0	10.0	300.0
GSM4486050_raw	1.6666666666666714	47.0	50.0	10.0	300.0
GSM4486051_raw	1.3333333333333286	47.0	50.0	10.0	300.0
GSM4486052_raw	2.666666666666657	50.0	50.0	10.0	300.0
GSM4486053_raw	3.3333333333333286	50.0	50.0	10.0	300.0
GSM4486054_raw	3.3333333333333286	51.0	50.0	20.0	300.0
GSM4486055_raw	3.3333333333333286	51.0	50.0	30.0	300.0
GSM4486056_raw	3.0	48.0	50.0	10.0	300.0
GSM4486057_raw	1.3333333333333286	46.0	50.0	10.0	300.0
GSM4486058_raw	0.3333333333333286	47.0	50.0	10.0	300.0
GSM4486059_raw	0.6666666666666714	47.0	50.0	10.0	300.0
GSM4486060_raw	2.3333333333333286	47.0	50.0	10.0	300.0
GSM4486061_raw	1.0	53.0	50.0	0.0	300.0
GSM4486062_raw	1.3333333333333286	50.0	50.0	10.0	300.0
GSM4486063_raw	1.3333333333333286	50.0	50.0	10.0	300.0
GSM4486064_raw	0.6666666666666714	50.0	50.0	0.0	300.0
GSM4486065_raw	2.0	47.0	50.0	10.0	300.0
GSM4486066_raw	1.3333333333333286	46.0	50.0	0.0	300.0
GSM4486067_raw	1.0	48.0	50.0	10.0	300.0
GSM4486068_raw	0.6666666666666714	47.0	50.0	0.0	300.0
GSM4486069_raw	3.3333333333333286	48.0	50.0	20.0	300.0
GSM4486070_raw	2.0	51.0	50.0	0.0	300.0
GSM4486071_raw	1.6666666666666714	52.0	50.0	10.0	300.0
GSM4486072_raw	0.3333333333333286	50.0	50.0	0.0	300.0
GSM4486073_raw	0.3333333333333286	50.0	50.0	0.0	300.0
GSM4486074_raw	3.3333333333333286	51.0	50.0	20.0	300.0
