task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	be/e77d6a	467344	STAGING:GENERATE_RUNSHEET (GLDS-48)	COMPLETED	0	2022-09-14 23:21:50.208	4.9s	4.1s	57.0%	72.1 MB	730.9 MB	22.1 MB	769.4 KB
2	83/f9408c	467820	STAGING:GENERATE_METASHEET (GLDS-48)	COMPLETED	0	2022-09-14 23:21:55.265	1.6s	802ms	82.3%	11 MB	16.6 MB	8.9 MB	154.4 KB
3	31/9f030b	468112	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_I_Rep1_M31)	COMPLETED	0	2022-09-14 23:21:57.117	65ms	4ms	80.0%	0	0	87.8 KB	17.6 KB
7	98/048aeb	-	REFERENCES:PARSE_ANNOTATIONS_TABLE	COMPLETED	-	2022-09-14 23:21:57.217	286ms	195ms	-	-	-	-	-
9	95/eec944	468726	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_I_Rep2_M32)	COMPLETED	0	2022-09-14 23:21:58.118	69ms	5ms	177.8%	0	0	87.7 KB	17.6 KB
4	1b/491ac2	468197	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_I_Rep1_M31)	COMPLETED	0	2022-09-14 23:21:57.203	1.6s	1s	83.4%	9.3 MB	15.9 MB	7.7 MB	237.1 KB
13	c5/e3cdc7	469532	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_FLT_I_Rep1_M21)	COMPLETED	0	2022-09-14 23:21:59.200	71ms	6ms	154.8%	0	0	87.9 KB	17.8 KB
10	1b/1741e0	468809	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_I_Rep2_M32)	COMPLETED	0	2022-09-14 23:21:58.202	1.8s	1s	76.6%	11 MB	17.3 MB	7.7 MB	277.1 KB
17	ab/8d3635	470221	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_FLT_I_Rep2_M22)	COMPLETED	0	2022-09-14 23:22:00.106	200ms	6ms	28.8%	0	0	88.2 KB	18 KB
20	99/c3b04c	471041	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_C_Rep1_M36)	COMPLETED	0	2022-09-14 23:22:01.121	196ms	8ms	29.9%	0	0	87.2 KB	17.1 KB
15	61/8db264	469629	TRIMGALORE (Sample: Mmus_C57-6J_LVR_FLT_I_Rep1_M21)	COMPLETED	0	2022-09-14 23:21:59.320	2.5s	1s	54.3%	12.7 MB	19.2 MB	7.7 MB	237 KB
24	54/a4e667	472083	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_C_Rep2_M37)	COMPLETED	0	2022-09-14 23:22:02.429	480ms	66ms	23.9%	0	0	87.6 KB	17.5 KB
19	37/22f9c9	470519	TRIMGALORE (Sample: Mmus_C57-6J_LVR_FLT_I_Rep2_M22)	COMPLETED	0	2022-09-14 23:22:00.331	3.1s	1s	49.9%	12.7 MB	19.3 MB	7.7 MB	268.3 KB
28	32/7c7642	473223	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_C_Rep3_M38)	COMPLETED	0	2022-09-14 23:22:04.006	534ms	22ms	12.2%	0	0	87.4 KB	17.2 KB
21	f2/995606	471313	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_C_Rep1_M36)	COMPLETED	0	2022-09-14 23:22:01.330	4.7s	1s	35.8%	19.7 MB	23.9 MB	7.7 MB	267.6 KB
31	e6/5d5c8d	474232	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_C_Rep4_M39)	COMPLETED	0	2022-09-14 23:22:05.306	1s	70ms	16.2%	0	0	87.6 KB	17.5 KB
25	70/e1e870	472407	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_C_Rep2_M37)	COMPLETED	0	2022-09-14 23:22:03.017	5.6s	2s	29.5%	12.6 MB	19.3 MB	7.7 MB	235 KB
30	11/026e98	473546	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_C_Rep3_M38)	COMPLETED	0	2022-09-14 23:22:04.622	6.9s	3s	19.6%	12.7 MB	19.3 MB	7.7 MB	268.4 KB
35	b0/9837ed	478084	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_GC_C_Rep5_M40)	COMPLETED	0	2022-09-14 23:22:11.563	745ms	19ms	12.6%	0	0	87.6 KB	17.4 KB
36	c8/c8692d	478501	STAGING:STAGE_RAW_READS (Mmus_C57-6J_LVR_FLT_C_Rep1_M25)	COMPLETED	0	2022-09-14 23:22:12.311	635ms	79ms	11.1%	0	0	87.3 KB	17.1 KB
33	30/0716e3	474966	TRIMGALORE (Sample: Mmus_C57-6J_LVR_GC_C_Rep4_M39)	COMPLETED	0	2022-09-14 23:22:06.502	6.7s	3s	21.2%	12.8 MB	19.3 MB	7.7 MB	235.5 KB
