Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1	4.666666666666657	54.0	135.34	9.090909090909092	300.0
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2	3.0	54.0	134.28666666666666	36.36363636363637	300.0
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1	3.0100334448160453	53.0	135.70234113712374	9.090909090909092	299.0
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2	2.675585284280942	53.0	134.78929765886286	27.27272727272727	299.0
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1	1.6722408026755886	53.0	139.81939799331104	36.36363636363637	299.0
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2	1.337792642140471	52.0	136.36120401337791	27.27272727272727	299.0
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1	1.006711409395976	52.0	139.61409395973155	36.36363636363637	298.0
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2	2.3489932885906057	52.0	138.00671140939596	36.36363636363637	298.0
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1	1.6666666666666714	52.0	138.60333333333332	36.36363636363637	300.0
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2	1.6666666666666714	52.0	136.27333333333334	36.36363636363637	300.0
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1	3.3333333333333286	52.0	137.54666666666665	27.27272727272727	300.0
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2	3.666666666666657	53.0	137.04	36.36363636363637	300.0
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1	3.3333333333333286	53.0	137.61666666666667	18.181818181818183	300.0
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2	0.6666666666666714	53.0	137.00333333333333	27.27272727272727	300.0
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1	3.0	54.0	138.89333333333335	9.090909090909092	300.0
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2	2.3333333333333286	54.0	136.45666666666668	27.27272727272727	300.0
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1	2.0	52.0	139.68	18.181818181818183	300.0
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2	1.6666666666666714	52.0	138.71333333333334	36.36363636363637	300.0
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1	2.0066889632107063	52.0	139.82608695652175	18.181818181818183	299.0
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2	1.6722408026755886	53.0	138.67558528428094	45.45454545454545	299.0
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1	2.6845637583892596	52.0	138.10738255033556	9.090909090909092	298.0
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2	2.0134228187919376	52.0	136.74161073825502	27.27272727272727	298.0
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1	3.0100334448160453	49.0	140.23411371237458	18.181818181818183	299.0
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2	1.337792642140471	49.0	139.61204013377926	27.27272727272727	299.0
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1	3.3333333333333286	52.0	139.61333333333334	0.0	300.0
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2	2.666666666666657	52.0	138.92666666666668	27.27272727272727	300.0
