Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	52-151	54.0	95.33333333333334	135.34	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	52-151	54.0	97.0	134.28666666666666	pass	fail	pass	pass	warn	fail	fail	warn	pass	fail	pass
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	50-151	53.0	96.98996655518395	135.70234113712374	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	52-151	53.0	97.32441471571906	134.78929765886286	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	58-151	53.0	98.32775919732441	139.81939799331104	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	56-151	52.0	98.66220735785953	136.36120401337791	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	42-151	52.0	98.99328859060402	139.61409395973155	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	64-151	52.0	97.6510067114094	138.00671140939596	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	49-151	52.0	98.33333333333333	138.60333333333332	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	43-151	52.0	98.33333333333333	136.27333333333334	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	56-151	52.0	96.66666666666667	137.54666666666665	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	55-151	53.0	96.33333333333334	137.04	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	34-151	53.0	96.66666666666667	137.61666666666667	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	22-151	53.0	99.33333333333333	137.00333333333333	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	35-151	54.0	97.0	138.89333333333335	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	35-151	54.0	97.66666666666667	136.45666666666668	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	75-151	52.0	98.0	139.68	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	72-151	52.0	98.33333333333333	138.71333333333334	pass	fail	pass	pass	fail	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	22-151	52.0	97.9933110367893	139.82608695652175	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	21-151	53.0	98.32775919732441	138.67558528428094	pass	fail	pass	pass	fail	fail	fail	warn	pass	fail	pass
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	53-151	52.0	97.31543624161074	138.10738255033556	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	33-151	52.0	97.98657718120806	136.74161073825502	pass	fail	pass	pass	warn	fail	fail	warn	pass	warn	pass
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1	Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	68-151	49.0	96.98996655518395	140.23411371237458	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
